Date,Athlete,Club,Bow Type,Age Class,Gender,Distance,Face,Result,Competition
2025-09-06,Mikk Mihkelson,JVI,Recurve,Adult,Men,70m,122cm,271,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Ardo Ojamets,PVM,Recurve,Adult,Men,30m,80cm,271,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Priidu Paomets,KSK,Barebow,Adult,Men,30m,122cm,271,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Patrick Järve,VVVK,Recurve,Adult,Men,70m,122cm,268,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Taavo Allik,VVVK,Recurve,Adult,Men,90m,122cm,267,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Marielle Laasma,PVM,Recurve,Adult,Women,70m,122cm,266,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Mirel Missik,VVVK,Recurve,Adult,Women,50m,80cm,265,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Tarvet Labi,VVVK,Recurve,Adult,Men,70m,122cm,264,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Patrick Järve,VVVK,Recurve,Adult,Men,50m,80cm,263,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Rait Ots,TLVK,Recurve,Adult,Men,70m,122cm,263,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Priit Pramann,VVVK,Recurve,+50,Men,60m,122cm,263,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Tiit Heinsalu,SJK,Recurve,+60,Men,70m,122cm,263,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Krista Hein,SAG,Barebow,Adult,Women,30m,122cm,263,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Ander Sepp,TVSK,Recurve,Adult,Men,70m,122cm,261,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Lisete Lepik,VVVK,Recurve,Adult,Women,50m,80cm,261,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Rait Ots,TLVK,Recurve,Adult,Men,50m,80cm,260,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Lisete Lepik,VVVK,Recurve,Adult,Women,60m,122cm,260,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Krista Hein,SAG,Barebow,Adult,Women,40m,122cm,260,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Merle Sillat,SVK,Longbow,Adult,Women,40m+30m,80cm,260,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Mirel Missik,VVVK,Recurve,Adult,Women,60m,122cm,257,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Indrek Hiie,SAG,Recurve,+50,Men,70m,122cm,257,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Heino Tenner,KSK,Longbow,+60,Men,50m+30m,80cm,257,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Kait Soesoo,VVVK,Recurve,Adult,Men,90m,122cm,256,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Indrek Hiie,SAG,Recurve,+50,Men,50m,80cm,256,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Krista Hein,SAG,Barebow,Adult,Women,50m,122cm,256,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Hannes Kraav,TL,Recurve,Adult,Men,90m,122cm,254,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Triinu Rõigas,VVVK,Recurve,Adult,Women,30m,80cm,252,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Jaan Rösler,VVVK,Barebow,Adult,Men,50m,122cm,252,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Priidu Paomets,KSK,Barebow,Adult,Men,60m,122cm,251,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Tiit Heinsalu,SJK,Recurve,+60,Men,50m,80cm,250,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Tiit Heinsalu,SJK,Recurve,+60,Men,60m,122cm,249,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Annika Vänt,TVSK,Barebow,Adult,Women,30m,122cm,247,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Patrick Järve,VVVK,Recurve,Adult,Men,90m,122cm,246,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Lisete Laureen Lepik,VVVK,Recurve,Adult,Women,70m,122cm,246,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Priit Pramann,VVVK,Recurve,+50,Men,70m,122cm,245,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Paul Villemi,SAG,Barebow,Adult,Men,50m,122cm,244,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Andres Sarapuu,VVVK,Recurve,Adult,Men,50m,80cm,240,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Mikk Mihkelson,JVI,Recurve,Adult,Men,90m,122cm,239,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Liis Kirsch,PVM,Recurve,Adult,Women,30m,80cm,239,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Tarvet Labi,VVVK,Recurve,Adult,Men,90m,122cm,238,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Kersti Baumann,SVK,Barebow,+60,Women,30m,122cm,238,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Mirel Missik,VVVK,Recurve,Adult,Women,70m,122cm,236,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Jaan Rösler,VVVK,Barebow,Adult,Men,60m,122cm,236,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Argo Sepp,TVSK,Barebow,Adult,Men,60m,122cm,235,Eesti Meistrivõistlused 2025 harjutuses 1440
